attendance_id,student_id,class_id,date,status
1,1,3,2026-05-20,Present
2,1,3,2026-05-21,Present
3,1,3,2026-05-22,Absent
4,1,3,2026-05-23,Present
5,2,3,2026-05-20,Present
6,2,3,2026-05-21,Present
7,2,3,2026-05-22,Present
8,2,3,2026-05-23,Absent
9,3,3,2026-05-20,Absent
10,3,3,2026-05-21,Present
11,3,3,2026-05-22,Present
12,3,3,2026-05-23,Present
13,4,3,2026-05-20,Present
14,4,3,2026-05-21,Absent
15,4,3,2026-05-22,Present
16,4,3,2026-05-23,Present
17,5,2,2026-05-20,Present
18,5,2,2026-05-21,Present
19,5,2,2026-05-22,Present
20,5,2,2026-05-23,Present
21,1,3,2026-05-28,Present
22,2,3,2026-05-28,Absent
23,3,3,2026-05-28,Present
24,4,3,2026-05-28,Present
25,7,1,2005-05-22,Present
26,11,1,2005-05-22,Absent
