class_id,class_grade,section,subject_ids,class_teacher_id,strength
1,1,A,"1,2,3,4,5",1,28
2,1,B,"1,2,3,4,5",2,31
3,2,A,"1,2,3,4,5",3,26
4,2,B,"1,2,3,4,5",4,34
5,3,A,"1,2,3,4,5",5,29
6,3,B,"1,2,3,4,5",6,22
7,4,A,"1,2,3,4,5",7,37
8,4,B,"1,2,3,4,5",8,25
9,5,A,"1,2,3,4,5",9,33
10,5,B,"1,2,3,4,5",10,31
11,6,A,"1,2,3,4,5",11,24
12,6,B,"1,2,3,4,5",12,38
13,7,A,"1,2,3,4,5",13,27
14,7,B,"1,2,3,4,5",14,35
15,8,A,"1,2,3,4,5",15,21
16,8,B,"1,2,3,4,5",16,39
17,9,A,"1,2,3,4,5",17,32
18,9,B,"1,2,3,4,5",18,23
19,10,A,"1,2,3,4,5",19,36
20,10,B,"1,2,3,4,5",20,28
21,11,A,"1,2,3,4,5",21,40
22,11,B,"1,2,3,4,5",22,26
23,12,A,"1,2,3,4,5",23,31
24,12,B,"1,2,3,4,5",24,24
