mark_id,student_id,subject_id,teacher_id,marks_obtained,total_marks
1,1,1,1,70,100
2,1,2,2,83,100
3,1,3,3,72,100
4,1,4,4,60,100
5,1,5,5,91,100
6,2,1,1,92,100
7,2,2,2,78,100
8,2,3,3,42,100
9,2,4,4,55,100
10,2,5,5,93,100
11,3,1,1,42,100
12,3,2,2,96,100
13,3,3,3,79,100
14,3,4,4,46,100
15,3,5,5,57,100
16,4,1,1,58,100
17,4,2,2,76,100
18,4,3,3,71,100
19,4,4,4,92,100
20,4,5,5,72,100
21,5,1,1,62,100
22,5,2,2,42,100
23,5,3,3,68,100
24,5,4,4,61,100
25,5,5,5,89,100
26,6,1,1,63,100
27,6,2,2,82,100
28,6,3,3,42,100
29,6,4,4,83,100
30,6,5,5,80,100
31,7,1,1,54,100
32,7,2,2,76,100
33,7,3,3,82,100
34,7,4,4,77,100
35,7,5,5,98,100
36,8,1,1,91,100
37,8,2,2,49,100
38,8,3,3,97,100
39,8,4,4,57,100
40,8,5,5,57,100
41,9,1,1,69,100
42,9,2,2,67,100
43,9,3,3,41,100
44,9,4,4,48,100
45,9,5,5,93,100
46,10,1,1,61,100
47,10,2,2,94,100
48,10,3,3,100,100
49,10,4,4,92,100
50,10,5,5,76,100
